object_id,object_name,object_name_zh,photo_path,appearance_notes
OBJ-001,plate rack,盘子架,,
OBJ-002,plate,盘子,,
OBJ-003,knife rack,刀具架,,
OBJ-004,knife,刀具,,
OBJ-005,pen holder with pens,有笔的笔筒,,
OBJ-006,pen,笔,,
OBJ-007,bookshelf,书架,,
OBJ-008,book,书,,
OBJ-009,hook rack,带挂钩架子,,
OBJ-010,mug,马克杯,,
OBJ-011,slot,槽位,,
OBJ-012,building block,积木,,
OBJ-013,three-gang panel switch,三控面板开关,,
OBJ-014,power-strip switch,插线板电源开关,,
OBJ-015,single switch,单控开关,,
OBJ-016,double switch,双控开关,,
OBJ-017,night light,小夜灯,,
OBJ-018,knob,旋钮,,
OBJ-019,fan knob,风扇旋钮,,
OBJ-020,short glass jar with lid,矮玻璃罐（带盖）,,
OBJ-021,narrow-neck drink bottle with lid,窄口饮料瓶（带盖）,,
OBJ-022,white tapered cup with lid,白色锥杯（带盖）,,
OBJ-023,clear wide tumbler with lid,透明宽口杯（带盖）,,
OBJ-024,document pouch,文件袋,,
OBJ-025,bottle,瓶子,,
OBJ-026,cup,杯子,,
OBJ-027,flip-down dishwasher door,翻盖式洗碗门,,
OBJ-028,side-hinged dishwasher door,旋转式洗碗门,,
OBJ-029,rice and plastic cup,大米/塑料杯,,
OBJ-030,plastic bowl,塑料碗,,
OBJ-031,rice and tall plastic cup,大米/高塑料杯,,
OBJ-032,plastic container,塑料盒,,
OBJ-033,garment,衣服,,
OBJ-034,inverted cup,倒扣杯子,,
OBJ-035,blackboard,黑板,,
OBJ-036,blackboard eraser,板擦,,
OBJ-037,paper ball,纸团,,
OBJ-038,collection container,收集容器,,
OBJ-039,soybeans,黄豆,,
OBJ-040,plastic bowl filled with soybeans,装有黄豆的塑料碗,,
OBJ-041,empty plastic bowl,空塑料碗,,
OBJ-042,metal spoon,金属勺,,
OBJ-043,ceramic spoon,瓷器勺,,
OBJ-044,plastic formula scoop,塑料奶粉勺,,
OBJ-045,celery,芹菜,,
OBJ-046,cucumber,黄瓜,,
