scene_id,layout_id,placements,scene_photo,notes
SC-001,desktop_layout_v1,"[{""position_ids"":[""P1"",""P2"",""P3""],""object_id"":""OBJ-001""},{""position_ids"":[""P4""],""object_id"":""OBJ-002""}]",,
SC-002,desktop_layout_v1,"[{""position_ids"":[""P1"",""P2"",""P3""],""object_id"":""OBJ-001""},{""position_ids"":[""P5""],""object_id"":""OBJ-002""}]",,
SC-003,desktop_layout_v1,"[{""position_ids"":[""P1"",""P2"",""P3""],""object_id"":""OBJ-001""},{""position_ids"":[""P6""],""object_id"":""OBJ-002""}]",,
SC-004,desktop_layout_v1,"[{""position_ids"":[""P1"",""P2"",""P3""],""object_id"":""OBJ-003""},{""position_ids"":[""P4""],""object_id"":""OBJ-004""}]",,
SC-005,desktop_layout_v1,"[{""position_ids"":[""P1"",""P2"",""P3""],""object_id"":""OBJ-003""},{""position_ids"":[""P5""],""object_id"":""OBJ-004""}]",,
SC-006,desktop_layout_v1,"[{""position_ids"":[""P1"",""P2"",""P3""],""object_id"":""OBJ-003""},{""position_ids"":[""P6""],""object_id"":""OBJ-004""}]",,
SC-007,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-005""},{""position_ids"":[""P4""],""object_id"":""OBJ-006""}]",,
SC-008,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-005""},{""position_ids"":[""P5""],""object_id"":""OBJ-006""}]",,
SC-009,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-005""},{""position_ids"":[""P6""],""object_id"":""OBJ-006""}]",,
SC-010,desktop_layout_v1,"[{""position_ids"":[""P1"",""P2"",""P3""],""object_id"":""OBJ-007""},{""position_ids"":[""P4""],""object_id"":""OBJ-008""}]",,
SC-011,desktop_layout_v1,"[{""position_ids"":[""P1"",""P2"",""P3""],""object_id"":""OBJ-007""},{""position_ids"":[""P5""],""object_id"":""OBJ-008""}]",,
SC-012,desktop_layout_v1,"[{""position_ids"":[""P1"",""P2"",""P3""],""object_id"":""OBJ-007""},{""position_ids"":[""P6""],""object_id"":""OBJ-008""}]",,
